Year,District,crop,Production,Area_ha,Yield_t/ha,TP,RPI,SPI,DTR,Prod_category
1995-96,Bagerhat,aman,207455,110150,1.88,1.72,9.72,-0.11,5.88,H
1996-97,Bagerhat,aman,203787,110300,1.85,1.73,6.53,0.29,6.15,H
1997-98,Bagerhat,aman,198191,112890,1.76,1.75,0.2,0.32,5.8,L
1998-99,Bagerhat,aman,180681,103958,1.74,1.77,-1.79,0.9,5.4,M
1999-00,Bagerhat,aman,210729,107723,1.96,1.79,9.44,-0.47,6.08,H
2000-01,Bagerhat,aman,190318,110473,1.72,1.81,-4.57,-0.46,5.93,M
2001-02,Bagerhat,aman,208430,110120,1.89,1.82,3.83,0.26,6.68,H
2002-03,Bagerhat,aman,200921,109466,1.84,1.84,-0.28,-0.49,6.35,M
2003-04,Bagerhat,aman,209473,110205,1.9,1.86,2.28,0.35,6.25,H
2004-05,Bagerhat,aman,170010,108680,1.56,1.88,-16.85,0.85,5.93,M
2005-06,Bagerhat,aman,209660,108360,1.93,1.89,2.16,-0.1,6.08,H
2006-07,Bagerhat,aman,210289,109130,1.93,1.91,0.8,0.41,6.03,H
2007-08,Bagerhat,aman,189918,106753,1.78,1.93,-7.79,-0.14,6.18,L
2008-09,Bagerhat,aman,200856,105267,1.91,1.95,-2,0.15,6.45,M
2009-10,Bagerhat,aman,156204,80830,1.93,1.96,-1.64,-0.28,6.45,M
2010-11,Bagerhat,aman,148622,73520,2.02,1.98,1.97,0.51,6.18,L
2011-12,Bagerhat,aman,148370,70580,2.1,2,5.1,0.21,6.33,L
2012-13,Bagerhat,aman,143688,67286,2.14,2.02,5.82,-0.06,6.05,L
2013-14,Bagerhat,aman,146713,68215,2.15,2.04,5.65,-0.6,6.29,L
2014-15,Bagerhat,aman,156080,73530,2.12,2.05,3.37,0.27,6.31,M
2015-16,Bagerhat,aman,150230,70695,2.13,2.07,2.6,0.19,6.23,L
2016-17,Bagerhat,aman,154600,70710,2.19,2.09,4.67,0.43,5.76,L
1995-96,Bagerhat,boro,12150,32085,2.64,2.26,16.77,-0.41,10.65,L
1996-97,Bagerhat,boro,12135,29424,2.42,2.37,2.5,0.27,10.13,L
1997-98,Bagerhat,boro,14095,30054,2.13,2.47,-13.67,1.27,9.63,L
1998-99,Bagerhat,boro,14095,30054,2.13,2.57,-17.16,-0.56,11.23,L
1999-00,Bagerhat,boro,21035,56587,2.69,2.68,0.45,-0.04,10.75,L
2000-01,Bagerhat,boro,23438,70651,3.01,2.78,8.34,-0.24,10.93,L
